protein	location	source(s)	uniprot_id
ENSG00000280571	Centrosome	HPA	
SMIM4	Mitochondria	HPA	
RBMY1J	Nucleoli	HPA	
SMIM6	Nucleoplasm	HPA	
H2AC11	Nucleoplasm	HPA	
H4C16	Nucleoplasm	HPA	
ENSG00000225528	Nucleoli	HPA	
ENSG00000282218	Golgi apparatus	HPA	
C1orf100	Nucleoplasm	HPA	
GAGE12D	Golgi apparatus	HPA	
ENSG00000288637	Centrosome	HPA	
ENSG00000272772	Cytosol	HPA	
KIAA1522	Plasma membrane	HPA	
ENSG00000290315	Cytosol	HPA	
ENSG00000264668	Plasma membrane	HPA	
H2BC10	Cytosol	HPA	
ENSG00000260914	Microtubules	HPA	
H2BC6	Cytosol	HPA	
ENSG00000144785	Nucleoplasm	HPA	
FAM90A5P	Nucleoplasm	HPA	
ENSG00000285982	Nucleoplasm	HPA	
ENSG00000273217	Centrosome	HPA	
C11orf80	Centrosome	HPA	
ENSG00000285188	Cytosol	HPA	
H3C2	Nucleoplasm	HPA	
SOGA3	Nucleoplasm	HPA	
ENSG00000285625	Cytosol	HPA	
H2BC8	Nucleoplasm	HPA	
ENSG00000251537	Cytosol	HPA	
ENSG00000282988	Nucleoplasm	HPA	
C9orf64	Golgi apparatus	HPA	
ENSG00000285188	Centrosome	HPA	
H4C1	Nucleoplasm	GO	
C6orf58	Nucleoplasm	HPA	
ENSG00000269035	Nuclear membrane	HPA	
ENSG00000285458	Cytosol	HPA	
TTC30B	Nucleoplasm	HPA	
FAM102B	Cytosol	HPA	
CCDC115	Endoplasmic reticulum	GO	
SOGA3	Cytosol	HPA	
ZBED8	Nucleoplasm	HPA	
FAM90A3P	Nucleoli	HPA	
ENSG00000144785	Centrosome	HPA	
C1orf112	Nucleoplasm	HPA	
FAM102B	Nucleoli	HPA	
ENSG00000285708	Nucleoplasm	HPA	
ENSG00000272980	Primary cilium	HPA	
ENSG00000277535	Nucleoli	HPA	
ENSG00000256514	Centrosome	HPA	
ENSG00000257390	Cytosol	HPA	
ENSG00000275869	Centrosome	HPA	
C6orf58	Cytosol	HPA	
H3C13	Nucleoplasm	HPA;GO	
