protein	location	source(s)
HNRNPD	Cytosol	GO
UBR5	Nucleoplasm	HPA;GO
SHARPIN	Cytosol	HPA;GO
GSTM3	Cytosol	HPA;GO
P3H2	Endoplasmic reticulum	GO
ILK	Cytosol	HPA;GO
BPGM	Nucleoli	HPA
HDAC6	Centrosome	HPA;GO
RPS10	Nucleoplasm	GO
C4orf33	Golgi apparatus	HPA
ZC3H4	Nucleoplasm	HPA
ENSG00000283886	Nucleoplasm	HPA
SHMT1	Cytosol	HPA;GO
GRB14	Cytosol	HPA;GO
REPIN1	Nucleoplasm	HPA
STAC3	Cytosol	HPA
PAGE4	Mitochondria	GO
SEMA3C	Plasma membrane	HPA
ZAR1L	Nucleoplasm	HPA
TMEM104	Nucleoplasm	HPA
TCOF1	Nucleoli	HPA
TP53I11	Endoplasmic reticulum	HPA
SRI	Plasma membrane	GO
C3orf38	Nucleoplasm	HPA
ELAVL2	Cytosol	HPA
PSME3	Cytosol	GO
CSF2RB	Golgi apparatus	HPA
MRGPRF	Nucleoplasm	HPA
EBF3	Nucleoplasm	HPA
ZNF780A	Nucleoplasm	HPA
ZNF641	Nucleoplasm	HPA
IFI27L2	Nucleoli	HPA
ALKBH2	Nucleoli	GO
SIK2	Nucleoplasm	HPA
PDCD5	Nucleoplasm	HPA
FAM219B	Nucleoplasm	HPA
NSDHL	Endoplasmic reticulum	HPA;GO
ITPR3	Endoplasmic reticulum	GO
TRIM21	Nucleoplasm	HPA
ACTN2	Primary cilium	HPA
ARFIP2	Cytosol	GO
KCNG4	Plasma membrane	HPA;GO
CYP7A1	Endoplasmic reticulum	GO
ARL3	Microtubules	GO
AIF1	Cytosol	GO
SDCBP	Cytosol	HPA;GO
CYP2A13	Endoplasmic reticulum	GO
EXTL3	Endoplasmic reticulum	GO
TSPAN9	Golgi apparatus	HPA
PRIMPOL	Mitochondria	GO
ATXN2L	Cytosol	HPA;GO
KRTAP5-11	Cytosol	GO
CEBPD	Nucleoplasm	HPA;GO
ILF2	Nucleoplasm	HPA
MAGED2	Nucleoli	HPA
MGST3	Nucleoplasm	HPA
FEZ1	Golgi apparatus	GO
PLIN3	Cytosol	GO
TCTN2	Microtubules	HPA
FER1L5	Plasma membrane	HPA
KRTAP19-6	Cytosol	GO
FAM172A	Cytosol	HPA
PLA2G6	Plasma membrane	HPA
CNPY3	Plasma membrane	HPA
ODAD3	Primary cilium	GO
STRADB	Cytosol	GO
KDELR2	Golgi apparatus	GO
OPA3	Cytosol	HPA
RNF207	Cytosol	HPA
FCGR2B	Plasma membrane	GO
DSTN	Plasma membrane	HPA
UNC13D	Cytosol	HPA
CRYAA	Cytosol	HPA
PLPPR5	Plasma membrane	HPA
FRMD4B	Centrosome	HPA
CASD1	Nucleoplasm	HPA
SUPT4H1	Nucleoplasm	HPA;GO
ANXA10	Nucleoplasm	HPA
ZNF212	Nucleoplasm	HPA
TMEM120A	Endoplasmic reticulum	GO
GATA5	Cytosol	HPA
KCNA2	Plasma membrane	GO
PPP2R2C	Cytosol	HPA
CALY	Plasma membrane	GO
ARMCX1	Mitochondria	HPA
ATAD1	Nucleoli	HPA
DDX53	Cytosol	HPA
GNG2	Plasma membrane	HPA;GO
CERS4	Nucleoplasm	HPA
GDAP1	Cytosol	HPA;GO
ANXA11	Cytosol	HPA
RTN4RL1	Nucleoplasm	HPA
RGS14	Nucleoplasm	HPA
ZDHHC21	Golgi apparatus	HPA;GO
LANCL2	Nucleoplasm	HPA
SLC39A9	Golgi apparatus	GO
MICAL3	Cytosol	HPA
SKA1	Cytosol	GO
RGS18	Plasma membrane	GO
LAP3	Plasma membrane	GO
ANP32A	Nucleoplasm	HPA;GO
PRKACA	Plasma membrane	GO
BOD1	Nucleoplasm	GO
EPOR	Plasma membrane	HPA;GO
MED1	Nucleoplasm	HPA;GO
COPG1	Nucleoplasm	HPA
RPS6KB1	Cytosol	GO
RIN2	Golgi apparatus	HPA
TTC9	Nucleoplasm	HPA
ATRNL1	Nucleoplasm	HPA
IL4R	Plasma membrane	HPA;GO
KRTAP27-1	Cytosol	GO
RAB6D	Golgi apparatus	HPA
PRSS21	Plasma membrane	GO
TCL1A	Cytosol	HPA
CSNK1A1L	Cytosol	HPA
ARHGAP26	Mitochondria	GO
GABRA6	Plasma membrane	GO
BAZ2A	Nucleoplasm	HPA
H2AC8	Nucleoplasm	HPA
CLDN25	Plasma membrane	GO
DUOXA1	Plasma membrane	GO
ACTB	Actin filaments	GO
FHIP1B	Mitochondria	HPA
CCDC127	Nucleoplasm	HPA
CRY2	Cytosol	HPA
SGMS1	Plasma membrane	GO
DGAT2	Endoplasmic reticulum	GO
NUDT15	Cytosol	GO
ANKRD34A	Cytosol	HPA
PDGFA	Golgi apparatus	HPA;GO
POP5	Nucleoli	HPA;GO
PSMA5	Cytosol	HPA;GO
KRCC1	Nucleoli	HPA
OFD1	Primary cilium	GO
DAG1	Endoplasmic reticulum	GO
AKAP9	Golgi apparatus	HPA;GO
ORC6	Nucleoli	HPA
IRF6	Cytosol	HPA;GO
MAN2A2	Golgi apparatus	GO
MARCHF5	Mitochondria	HPA;GO
MYOCD	Nucleoplasm	HPA
ZNF263	Microtubules	HPA
MCM7	Primary cilium	HPA
CYP2D6	Mitochondria	GO
SGIP1	Cytosol	GO
GLI1	Plasma membrane	HPA
LPXN	Cytosol	HPA
TDH	Mitochondria	GO
SLC25A21	Mitochondria	GO
DLGAP4	Nucleoplasm	HPA
PTMS	Nucleoplasm	HPA
FBXL6	Nucleoplasm	HPA
HSPB1	Cytosol	HPA;GO
SMAD4	Nucleoplasm	HPA;GO
ARAF	Plasma membrane	HPA
SNAP29	Cytosol	HPA
ACBD3	Golgi apparatus	HPA;GO
KIFC2	Cytosol	HPA
TMEM41A	Golgi apparatus	HPA
SLC30A3	Nucleoli	HPA
NXF3	Nucleoplasm	HPA
SPECC1	Nucleoli	HPA
MFSD2B	Plasma membrane	GO
SLC7A6OS	Cytosol	HPA
PDK1	Mitochondria	GO
ENSG00000288520	Plasma membrane	HPA
NBEAL1	Cytosol	HPA
MLF2	Nucleoplasm	HPA
PTPRH	Cytosol	HPA
KAT2B	Nucleoplasm	HPA;GO
EDNRA	Plasma membrane	HPA;GO
LRRC46	Plasma membrane	HPA
ASPG	Cytosol	GO
SPPL2C	Endoplasmic reticulum	GO
SURF2	Nucleoli	HPA
F8	Golgi apparatus	GO
PCDHAC1	Nucleoplasm	HPA
TDO2	Plasma membrane	HPA
ANO10	Primary cilium	HPA
MANEAL	Golgi apparatus	HPA
HPS4	Plasma membrane	HPA
SDC1	Actin filaments	HPA
SERTAD4	Nucleoplasm	HPA
FCMR	Golgi apparatus	HPA;GO
SLC6A17	Mitochondria	HPA
MSANTD1	Cytosol	HPA
SLC9A3R2	Plasma membrane	HPA
LRIF1	Nucleoplasm	HPA;GO
ZNF554	Nucleoli	HPA
MORN1	Mitochondria	HPA
PRPF18	Nucleoplasm	HPA;GO
KCNU1	Primary cilium	GO
EPHB1	Endoplasmic reticulum	HPA
EFNB3	Plasma membrane	GO
ZIM2	Cytosol	HPA
SIX5	Cytosol	HPA
PPP1R1C	Golgi apparatus	HPA
MAD2L1	Cytosol	GO
ENSG00000285304	Cytosol	HPA
NDUFAF2	Mitochondria	HPA;GO
RPLP0	Plasma membrane	GO
MINK1	Cytosol	GO
RPL9	Cytosol	HPA;GO
CCNQ	Nucleoplasm	HPA
TTC5	Nucleoplasm	HPA;GO
ZBED9	Nucleoli	HPA
PROC	Golgi apparatus	GO
RAB8A	Microtubules	GO
ITGB3BP	Nucleoplasm	HPA;GO
CD59	Actin filaments	GO
ASIC1	Plasma membrane	HPA;GO
ZNF207	Nucleoplasm	HPA;GO
ARAP1	Nucleoplasm	HPA
TAS2R14	Plasma membrane	GO
MZF1	Nucleoplasm	HPA
EFNA5	Cytosol	HPA
TPTE	Cytosol	HPA
EPB41L4A	Plasma membrane	HPA
PTPN23	Primary cilium	HPA;GO
AKR1A1	Nucleoplasm	HPA
NFE2L1	Endoplasmic reticulum	GO
BCL2L11	Microtubules	GO
HOMER1	Cytosol	HPA;GO
AMOT	Actin filaments	GO
CDKN2D	Cytosol	HPA;GO
CDCA8	Nucleoli	HPA
ACOT9	Cytosol	HPA
PLA2G3	Endoplasmic reticulum	HPA
SH3TC2	Nucleoplasm	HPA
CRACR2A	Golgi apparatus	GO
CLIC2	Plasma membrane	HPA
FAM114A1	Golgi apparatus	HPA
EIF2S1	Mitochondria	GO
NDFIP2	Endoplasmic reticulum	GO
CAMSAP1	Microtubules	HPA;GO
TOR4A	Nucleoplasm	HPA
PTPN21	Cytosol	HPA
OSBPL1A	Cytosol	HPA;GO
CDAN1	Cytosol	HPA
UGT8	Endoplasmic reticulum	GO
TMUB1	Nucleoplasm	HPA
USP20	Nucleoplasm	HPA
RBM23	Nucleoplasm	HPA
TMEM132E	Cytosol	HPA
PLAUR	Endoplasmic reticulum	GO
ZZEF1	Nucleoplasm	HPA
DNAH7	Primary cilium	GO
GREB1	Cytosol	HPA
PCDH7	Plasma membrane	HPA;GO
CLCA4	Cytosol	HPA
RBM20	Nucleoplasm	HPA
P4HB	Cytosol	GO
HNRNPK	Nucleoplasm	HPA;GO
RHEX	Plasma membrane	HPA;GO
NUDC	Cytosol	GO
ZNF879	Nucleoplasm	HPA
MTMR10	Nucleoplasm	HPA
ANG	Nucleoli	HPA
YBX1	Endoplasmic reticulum	HPA
RHOA	Endoplasmic reticulum	GO
XRCC3	Mitochondria	GO
TMEM63C	Centrosome	HPA
MED7	Nucleoplasm	HPA;GO
CRY1	Microtubules	HPA
NFKBIL1	Nucleoplasm	HPA
SCARA3	Endoplasmic reticulum	HPA
NAT9	Nucleoplasm	HPA
C1S	Cytosol	HPA
CREB3L3	Cytosol	GO
GTF2H3	Nucleoplasm	HPA;GO
IPO9	Nucleoplasm	HPA
IQUB	Nucleoplasm	HPA
DTWD1	Nucleoli	HPA
PYURF	Endoplasmic reticulum	GO
C2orf16	Nucleoplasm	HPA
MAPKBP1	Nucleoli	HPA
OR7C1	Plasma membrane	GO
XRCC5	Nucleoli	GO
DAGLA	Plasma membrane	GO
GCLM	Plasma membrane	HPA
SLC35F6	Cytosol	HPA
SRD5A3	Cytosol	HPA
MRI1	Cytosol	HPA;GO
PRDM6	Nucleoplasm	HPA
ZNF557	Nucleoplasm	HPA
APC	Golgi apparatus	HPA
RELCH	Golgi apparatus	GO
KBTBD4	Nucleoplasm	HPA
NCOR2	Nucleoplasm	HPA;GO
ABCA6	Nucleoplasm	HPA
FANCG	Nucleoplasm	HPA;GO
ETV6	Nucleoli	HPA
TENM1	Plasma membrane	HPA
PTTG2	Nucleoli	HPA
BICRAL	Nucleoplasm	HPA;GO
FARSA	Cytosol	HPA;GO
SLC1A6	Plasma membrane	HPA;GO
ADCK5	Cytosol	HPA
ODR4	Nucleoplasm	HPA
BAZ1A	Nucleoplasm	GO
RUBCNL	Cytosol	HPA
SSPN	Nuclear membrane	HPA
NLGN3	Plasma membrane	HPA;GO
OR2W3	Plasma membrane	GO
KIR3DS1	Plasma membrane	GO
LARP1B	Cytosol	HPA
MRPL44	Mitochondria	HPA;GO
ZC3H18	Nucleoplasm	HPA
RANGRF	Endoplasmic reticulum	GO
CLEC2D	Plasma membrane	GO
NMD3	Nucleoplasm	HPA;GO
AMELX	Endoplasmic reticulum	GO
PCDHGA12	Plasma membrane	HPA
ZNF594	Nucleoplasm	HPA
RHOT1	Mitochondria	GO
WDR62	Microtubules	GO
BLNK	Cytosol	GO
GPR35	Plasma membrane	GO
PDE6D	Cytosol	GO
SOCS6	Nucleoplasm	HPA
MRPS11	Mitochondria	HPA;GO
TGFB3	Plasma membrane	GO
TCP11L2	Nucleoplasm	HPA
PLPP1	Plasma membrane	HPA;GO
ALKBH5	Nucleoplasm	HPA;GO
PNP	Cytosol	HPA;GO
LBX1	Nucleoplasm	HPA
LPIN3	Endoplasmic reticulum	GO
SH3GLB2	Nucleoplasm	HPA
ALKBH7	Mitochondria	HPA;GO
LIN52	Nucleoplasm	HPA;GO
ALDH3A2	Cytosol	HPA;GO
MFSD6	Cytosol	HPA
PMS1	Nucleoplasm	HPA
RNF41	Cytosol	GO
ARL2BP	Nucleoplasm	HPA
REXO5	Nucleoli	HPA
APIP	Cytosol	HPA;GO
RHOF	Golgi apparatus	HPA
SYNE2	Actin filaments	GO
DOHH	Nucleoplasm	HPA
SPRR4	Nuclear membrane	HPA
PLCB1	Cytosol	GO
RPL19	Actin filaments	GO
GRAP	Centrosome	HPA
AMER1	Plasma membrane	HPA;GO
MAGEA9	Golgi apparatus	HPA
MUC12	Plasma membrane	GO
TMX4	Nuclear membrane	HPA
VWA5B1	Plasma membrane	HPA
WNT7A	Plasma membrane	GO
GAS2L1	Actin filaments	GO
CLCN5	Plasma membrane	HPA
SH3D21	Primary cilium	HPA
PLSCR1	Nucleoli	GO
ABCC12	Endoplasmic reticulum	GO
BEND3	Nucleoli	GO
SGTA	Cytosol	GO
AMT	Nucleoplasm	HPA
ARF4	Golgi apparatus	GO
MAP2K3	Cytosol	HPA;GO
TRIM29	Cytosol	HPA
TPR	Microtubules	GO
NOL9	Nucleoli	HPA;GO
OGFR	Nucleoplasm	HPA
HMBS	Cytosol	GO
UGGT1	Endoplasmic reticulum	GO
PLXNA1	Nucleoplasm	HPA
HS1BP3	Cytosol	HPA
BSND	Plasma membrane	GO
MTHFS	Mitochondria	GO
PDCD6IP	Microtubules	GO
SLC30A5	Nucleoplasm	HPA
ENSG00000284057	Nucleoplasm	HPA
PAK2	Cytosol	HPA;GO
LMCD1	Plasma membrane	HPA
XRCC6	Nucleoli	GO
CKAP4	Endoplasmic reticulum	HPA;GO
TIAM1	Nuclear membrane	HPA
ABCA2	Plasma membrane	GO
NRXN1	Plasma membrane	HPA;GO
DNAAF9	Nucleoli	HPA
DLGAP3	Endoplasmic reticulum	HPA
RPS21	Endoplasmic reticulum	HPA
MEX3A	Cytosol	HPA;GO
SULT1E1	Cytosol	GO
CACNA1D	Plasma membrane	GO
SEPTIN7	Primary cilium	HPA;GO
NUTM2E	Nucleoplasm	HPA
CST6	Plasma membrane	HPA
ALDOB	Centrosome	GO
WDR83OS	Cytosol	GO
HMGN3	Nucleoplasm	HPA
RPS19	Plasma membrane	GO
GCNT1	Golgi apparatus	GO
LRRIQ3	Nucleoplasm	HPA
ENSG00000290317	Golgi apparatus	HPA
MVK	Cytosol	HPA;GO
SREBF2	Nucleoplasm	HPA;GO
HAS1	Golgi apparatus	GO
PYDC2	Nucleoplasm	HPA
MKRN2	Nucleoplasm	HPA
TRAF4	Nucleoplasm	HPA
C3orf18	Cytosol	HPA
CDC42EP4	Plasma membrane	HPA;GO
HOXC8	Nucleoplasm	HPA;GO
ZNF586	Nucleoli	HPA
TSPAN31	Golgi apparatus	HPA
RALBP1	Cytosol	GO
ERO1B	Endoplasmic reticulum	GO
STK3	Intermediate filaments	HPA
AMOTL2	Plasma membrane	HPA
MNDA	Nucleoli	HPA
OSMR	Plasma membrane	GO
ZC3H14	Nucleoplasm	HPA
FEZ1	Microtubules	HPA
RSRP1	Nucleoplasm	HPA
CRIP1	Cytosol	HPA
ACTL10	Plasma membrane	HPA
GTPBP8	Mitochondria	HPA
ACTN1	Primary cilium	HPA
GEM	Plasma membrane	GO
PDCD10	Cytosol	GO
C2CD4A	Nucleoli	HPA
CRACDL	Microtubules	HPA
ADAM12	Plasma membrane	HPA;GO
FERMT2	Cytosol	HPA;GO
WDR3	Nucleoli	HPA
CALHM1	Plasma membrane	GO
ATG9A	Mitochondria	GO
RFC2	Nucleoplasm	HPA;GO
BCKDHA	Mitochondria	GO
LOXL2	Endoplasmic reticulum	GO
MSTO1	Mitochondria	GO
ZNF223	Mitochondria	HPA
GRIPAP1	Cytosol	HPA
CHMP4A	Plasma membrane	GO
RALGAPA1	Cytosol	HPA
FOCAD	Actin filaments	GO
RPL36A	Cytosol	HPA;GO
CLDN10	Plasma membrane	GO
ZSCAN26	Nucleoli	HPA
KCTD7	Cytosol	GO
ZIC2	Nucleoplasm	HPA
KATNAL1	Mitochondria	HPA
UBE2V1	Nucleoplasm	HPA
MZT2B	Microtubules	GO
ZNF829	Nucleoplasm	HPA
NCKAP1	Actin filaments	GO
DDAH1	Plasma membrane	HPA
JRK	Nucleoli	HPA
SNRPB	Cytosol	GO
C6orf89	Plasma membrane	GO
CAPZA2	Cytosol	HPA;GO
PDHB	Mitochondria	HPA;GO
GAGE2E	Plasma membrane	HPA
TMEM116	Microtubules	HPA
NR3C2	Cytosol	GO
XBP1	Endoplasmic reticulum	GO
SH2D5	Cytosol	HPA
NOTCH2	Plasma membrane	HPA;GO
GARS1	Cytosol	HPA;GO
PTK2B	Cytosol	HPA;GO
QTRT1	Mitochondria	HPA;GO
ZNF304	Cytosol	HPA
VPS37B	Microtubules	GO
AARS1	Cytosol	HPA;GO
EHD1	Plasma membrane	GO
NRBP2	Cytosol	HPA
ANKH	Plasma membrane	GO
GABRB3	Plasma membrane	GO
NOTO	Cytosol	HPA
SPATA21	Cytosol	HPA
GAPDH	Nuclear membrane	HPA
SDF4	Golgi apparatus	HPA
S100A16	Cytosol	HPA;GO
UTY	Nucleoplasm	HPA;GO
DAPK1	Plasma membrane	GO
EEPD1	Plasma membrane	GO
ITGB6	Plasma membrane	HPA;GO
SEPTIN8	Actin filaments	HPA
SLC34A2	Plasma membrane	HPA;GO
GUF1	Nucleoplasm	HPA
OGN	Endoplasmic reticulum	HPA
APC2	Plasma membrane	GO
TOMM34	Mitochondria	HPA;GO
ZNF799	Nucleoplasm	HPA
CFTR	Cytosol	GO
APLNR	Plasma membrane	GO
SKIC8	Cytosol	HPA;GO
STBD1	Plasma membrane	GO
POLE2	Nucleoplasm	HPA;GO
GRIA3	Plasma membrane	GO
STAT4	Nucleoplasm	HPA;GO
TRIM27	Nucleoli	HPA
FRS3	Plasma membrane	GO
ABCA13	Cytosol	HPA
RAC3	Plasma membrane	GO
PTPN11	Nucleoli	HPA
PRAME	Nucleoplasm	HPA;GO
PCNA	Nucleoplasm	HPA;GO
PIGQ	Golgi apparatus	HPA
SCAF11	Nucleoplasm	HPA
STING1	Mitochondria	GO
GFRA3	Plasma membrane	HPA;GO
R3HDM4	Cytosol	HPA
SLC6A15	Nucleoli	HPA
PLA2G2F	Cytosol	GO
CD163L1	Nucleoplasm	HPA
POU1F1	Cytosol	HPA
UBE2NL	Nucleoli	HPA
DOK3	Plasma membrane	HPA;GO
SLC35C1	Golgi apparatus	HPA;GO
SPTA1	Plasma membrane	GO
CAMK2G	Primary cilium	HPA
ENSG00000272772	Nucleoplasm	HPA
BCL11A	Nucleoplasm	HPA;GO
KIF9	Cytosol	HPA
RASAL1	Plasma membrane	HPA;GO
CIP2A	Plasma membrane	HPA
H2BC4	Cytosol	HPA
PLPPR3	Nucleoplasm	HPA
LONP1	Nucleoplasm	HPA
PAPOLG	Nucleoplasm	HPA
COPS3	Cytosol	HPA;GO
EBNA1BP2	Nucleoli	HPA;GO
POLR3D	Cytosol	GO
SFXN3	Mitochondria	HPA;GO
NOP9	Nucleoli	HPA
WBP1	Cytosol	HPA
FKBP1B	Cytosol	HPA
RPIA	Cytosol	GO
FAM90A19	Nucleoli	HPA
WDR76	Nucleoli	HPA
TF	Plasma membrane	GO
MCM8	Nucleoplasm	HPA;GO
PKN2	Nucleoplasm	HPA
ASB7	Nucleoplasm	HPA
ALB	Endoplasmic reticulum	HPA;GO
KLHL36	Cytosol	HPA
ZBTB37	Nucleoplasm	HPA
RPL7A	Nucleoli	HPA;GO
SNX3	Cytosol	GO
IFT22	Cytosol	HPA
SIVA1	Nucleoplasm	HPA;GO
LDAF1	Endoplasmic reticulum	GO
NOS3	Golgi apparatus	GO
RPS7	Centrosome	GO
SIPA1L3	Actin filaments	GO
PPP1R2B	Nucleoplasm	HPA
SNX18	Plasma membrane	GO
CFAP43	Nucleoplasm	HPA
PIEZO2	Cytosol	HPA
DUSP16	Cytosol	GO
ATXN10	Plasma membrane	HPA
SIN3B	Nucleoplasm	HPA;GO
LYZ	Golgi apparatus	HPA
C19orf67	Nucleoplasm	HPA
PPT1	Golgi apparatus	HPA;GO
CEP76	Centrosome	GO
ACTR6	Cytosol	HPA
WASF1	Cytosol	GO
GUCA1C	Primary cilium	GO
KANK1	Plasma membrane	HPA;GO
RPE65	Endoplasmic reticulum	GO
NASP	Nucleoplasm	HPA;GO
PIP4K2A	Nucleoplasm	GO
LDHA	Cytosol	HPA;GO
MAPK3	Nucleoplasm	HPA;GO
TSPY3	Cytosol	HPA
SOX7	Nucleoplasm	HPA;GO
RPS28	Nucleoplasm	GO
DTNBP1	Microtubules	HPA
RTTN	Primary cilium	HPA;GO
AGO4	Cytosol	HPA;GO
ANXA6	Cytosol	HPA
TRIM26	Cytosol	HPA;GO
PTCHD4	Cytosol	HPA
VPS29	Cytosol	HPA;GO
FABP7	Golgi apparatus	HPA
BIRC7	Cytosol	HPA;GO
RIOX1	Nucleoli	HPA
FAM241B	Nucleoplasm	HPA
IFT20	Primary cilium	HPA;GO
SLC52A1	Plasma membrane	GO
XRCC4	Nucleoplasm	HPA;GO
CCT4	Microtubules	GO
CORO2A	Primary cilium	HPA
ZNF404	Nucleoli	HPA
RIC8A	Plasma membrane	HPA
CRACR2A	Microtubules	GO
KLHL32	Nucleoplasm	HPA
HSD17B1	Cytosol	HPA;GO
RBBP4	Nucleoplasm	HPA;GO
OPRL1	Plasma membrane	GO
KCNA4	Plasma membrane	GO
BGN	Golgi apparatus	HPA;GO
ADCY7	Cytosol	HPA
KIF20B	Centrosome	HPA;GO
ENSG00000289700	Nucleoplasm	HPA
ACADVL	Mitochondria	HPA;GO
PLXNC1	Mitochondria	HPA
NES	Intermediate filaments	HPA
DEGS1	Endoplasmic reticulum	GO
IRAK4	Plasma membrane	GO
MBTPS2	Cytosol	HPA
ATP8A1	Endoplasmic reticulum	GO
PRKAR1A	Plasma membrane	GO
STEEP1	Centrosome	HPA
ZNF280D	Golgi apparatus	HPA
SORBS3	Plasma membrane	GO
YAF2	Nucleoplasm	HPA;GO
ENSG00000197991	Microtubules	HPA
DHX38	Nucleoplasm	HPA;GO
NME2	Cytosol	HPA;GO
FRK	Nucleoplasm	HPA
TNFSF8	Plasma membrane	GO
TAS2R16	Endoplasmic reticulum	GO
INTS6L	Centrosome	HPA
RABEPK	Cytosol	GO
PYDC1	Cytosol	GO
CXCR2	Nucleoplasm	HPA
FBLIM1	Plasma membrane	HPA;GO
RPL5	Cytosol	HPA;GO
CRPPA	Cytosol	GO
C4A	Plasma membrane	GO
SPTBN1	Plasma membrane	GO
TWSG1	Cytosol	HPA
CYTH3	Cytosol	HPA;GO
CENPF	Nucleoplasm	HPA;GO
PCED1A	Cytosol	HPA
TRIP4	Centrosome	GO
NDST2	Golgi apparatus	GO
KCNN3	Cytosol	HPA
ZNF793	Cytosol	HPA
GSTK1	Cytosol	GO
NFRKB	Nucleoplasm	HPA;GO
APOA1	Endoplasmic reticulum	GO
KCTD6	Mitochondria	HPA
MYO18B	Nucleoplasm	HPA
ABHD17C	Plasma membrane	GO
FFAR2	Plasma membrane	GO
DNAH14	Centrosome	HPA
ALOX5	Nuclear membrane	GO
NUAK1	Nucleoli	HPA
PCCA	Cytosol	GO
AAMP	Microtubules	HPA
RPL22L1	Nucleoplasm	HPA
WDR74	Nucleoli	HPA;GO
MUC3A	Golgi apparatus	GO
MRAP2	Endoplasmic reticulum	GO
CCSER2	Cytosol	HPA
DGKD	Cytosol	HPA;GO
TAF11	Nucleoplasm	HPA;GO
CENPK	Nucleoplasm	GO
ZFYVE1	Mitochondria	GO
MYPN	Nucleoplasm	HPA
DNA2	Mitochondria	HPA;GO
AK7	Cytosol	HPA;GO
PCDHB5	Plasma membrane	HPA
TMEM98	Plasma membrane	GO
TOP3A	Nucleoplasm	GO
RNPS1	Cytosol	GO
LIAS	Nucleoplasm	HPA
KRTAP24-1	Cytosol	GO
TRMT112	Cytosol	GO
PLEKHN1	Plasma membrane	HPA
IRX5	Nucleoplasm	HPA
PHTF1	Nucleoli	HPA
CCT7	Microtubules	GO
AUH	Mitochondria	GO
KCNA3	Plasma membrane	GO
NOP14	Nucleoplasm	HPA;GO
SENP2	Nucleoplasm	GO
SCFD2	Nucleoplasm	HPA
PRCP	Plasma membrane	GO
CEP57	Golgi apparatus	GO
ILK	Centrosome	GO
CORO2B	Actin filaments	HPA
RPL13A	Cytosol	HPA;GO
PRKAR2A	Actin filaments	GO
NOX5	Plasma membrane	GO
DLC1	Endoplasmic reticulum	HPA
DAGLB	Plasma membrane	HPA;GO
TAS1R3	Plasma membrane	HPA;GO
DCTN3	Cytosol	HPA;GO
ARMCX2	Mitochondria	HPA
SIGLEC5	Plasma membrane	GO
UFSP1	Cytosol	GO
IFNL1	Plasma membrane	GO
CDKN2C	Cytosol	HPA;GO
OR11H6	Plasma membrane	GO
MAK	Primary cilium	HPA
OTUD3	Cytosol	HPA;GO
VPS4A	Plasma membrane	GO
H3C8	Nucleoplasm	HPA
PARM1	Plasma membrane	GO
GCNT4	Golgi apparatus	HPA;GO
TRMT10C	Mitochondria	HPA;GO
CDC23	Cytosol	GO
DGKQ	Nucleoli	HPA
PDK2	Mitochondria	HPA;GO
GGN	Cytosol	HPA
TPD52	Cytosol	HPA
USP4	Cytosol	HPA;GO
OAZ2	Cytosol	GO
RSAD2	Mitochondria	GO
MAPRE1	Actin filaments	GO
LGALS3	Plasma membrane	GO
RPS5	Actin filaments	GO
RBM5	Nucleoplasm	HPA;GO
YAP1	Nucleoplasm	HPA;GO
TAS2R20	Plasma membrane	GO
ACADM	Mitochondria	HPA;GO
HLA-DPA1	Plasma membrane	GO
TPRN	Nucleoplasm	GO
MSH6	Nucleoplasm	HPA;GO
PGRMC1	Plasma membrane	GO
CREB3L4	Nuclear membrane	HPA
B4GALT3	Golgi apparatus	HPA;GO
VEPH1	Nucleoli	HPA
CDK8	Nucleoplasm	HPA;GO
KIF20B	Nucleoli	GO
TCEAL8	Nucleoplasm	HPA
M6PR	Plasma membrane	GO
ERCC5	Nucleoplasm	HPA;GO
NAA80	Cytosol	GO
TMEM170B	Centrosome	HPA
CDC6	Nucleoli	GO
CCDC86	Nucleoli	HPA
SLC26A11	Plasma membrane	GO
ZNF804A	Microtubules	GO
DMRT2	Nucleoplasm	HPA
PDE4C	Cytosol	HPA;GO
NUP155	Cytosol	GO
GMEB2	Cytosol	HPA
IRF2BP1	Nucleoplasm	HPA
PKM	Cytosol	HPA;GO
HLA-DPB1	Nucleoplasm	HPA
UNG	Mitochondria	HPA
RPS14	Nucleoplasm	GO
ALG14	Nucleoplasm	HPA
ERCC2	Cytosol	HPA
ATXN7L3	Nucleoplasm	HPA;GO
OR5P3	Plasma membrane	GO
TRMT10B	Plasma membrane	HPA
ENO1	Nuclear membrane	GO
MACIR	Actin filaments	HPA
PPP1R32	Plasma membrane	HPA
DBF4B	Nucleoplasm	HPA;GO
CSTF2	Nucleoplasm	HPA;GO
LMO4	Nucleoplasm	HPA
C16orf46	Cytosol	HPA
PUS1	Mitochondria	HPA;GO
KRTAP12-2	Cytosol	GO
FBXO38	Plasma membrane	HPA
LAMTOR1	Plasma membrane	HPA;GO
P3H3	Nucleoli	HPA
MCM6	Nucleoplasm	HPA;GO
TNFSF9	Plasma membrane	GO
SIMC1	Nucleoplasm	HPA;GO
UPRT	Nucleoplasm	HPA
UFL1	Endoplasmic reticulum	HPA;GO
PTTG1	Nucleoli	HPA
DPYSL2	Microtubules	HPA;GO
ATF1	Nucleoplasm	HPA;GO
ICAM1	Cytosol	HPA
RBM45	Nucleoplasm	HPA
RNF216	Cytosol	HPA;GO
SNX31	Nucleoplasm	HPA
FZD4	Primary cilium	HPA
