protein	location	source(s)
UBE2J1	Endoplasmic reticulum	GO
SLCO4C1	Cytosol	HPA
OSBPL9	Cytosol	GO
INS	Endoplasmic reticulum	GO
GNGT1	Primary cilium	GO
ELAVL1	Nucleoli	HPA
ADD2	Cytosol	HPA;GO
MFSD14B	Cytosol	HPA
POGZ	Nucleoplasm	HPA;GO
HTR1F	Plasma membrane	GO
NPLOC4	Cytosol	HPA;GO
SLC36A4	Golgi apparatus	HPA
SYNE1	Golgi apparatus	GO
MAPK4	Nucleoplasm	HPA;GO
HROB	Cytosol	HPA
FGF23	Endoplasmic reticulum	GO
ZNF805	Nucleoplasm	HPA
LNP1	Cytosol	HPA
COA7	Nucleoplasm	HPA
MARCO	Golgi apparatus	HPA
ATP6V1D	Centrosome	GO
THSD1	Actin filaments	GO
ENSG00000280571	Cytosol	HPA
RARS1	Cytosol	HPA;GO
ZFP36L1	Cytosol	GO
PHOSPHO1	Plasma membrane	HPA
USP31	Cytosol	HPA
E2F3	Nucleoplasm	HPA;GO
CD300A	Cytosol	HPA
HGFAC	Cytosol	GO
SRPRB	Endoplasmic reticulum	GO
RRAGD	Centrosome	HPA
EXD2	Mitochondria	HPA;GO
UBE2L3	Cytosol	HPA;GO
CAPRIN2	Mitochondria	GO
PRKACA	Mitochondria	GO
HBG2	Cytosol	GO
NUDCD3	Primary cilium	HPA
TEAD4	Nucleoplasm	HPA;GO
DCUN1D4	Nucleoplasm	HPA
TRAT1	Plasma membrane	HPA;GO
MAB21L2	Nucleoplasm	HPA
NEK6	Cytosol	HPA;GO
VPS37C	Golgi apparatus	HPA
ATF3	Primary cilium	HPA
FBXO41	Plasma membrane	HPA
DST	Nucleoplasm	HPA
CCBE1	Plasma membrane	HPA
FAM32A	Nucleoplasm	HPA;GO
ATP13A4	Plasma membrane	GO
ZNF503	Nucleoplasm	HPA
DUSP10	Cytosol	HPA
MYH9	Actin filaments	HPA;GO
CCN3	Cytosol	HPA
IGHV3-9	Plasma membrane	GO
RMND5A	Nucleoplasm	HPA;GO
CKS1B	Cytosol	HPA
ATP6V1C1	Cytosol	HPA;GO
GFI1B	Nucleoplasm	HPA
TOX4	Nucleoplasm	HPA;GO
IQCE	Primary cilium	HPA;GO
IQGAP1	Cytosol	GO
KIR3DL1	Plasma membrane	GO
SMARCA1	Nucleoplasm	HPA;GO
NRG1	Nucleoplasm	HPA
NF2	Nucleoplasm	HPA
ZNF181	Nucleoplasm	HPA
SPDEF	Nucleoli	HPA
ARL4A	Plasma membrane	GO
TIMM44	Mitochondria	HPA;GO
TUBGCP2	Primary cilium	HPA
PRKAR1B	Primary cilium	GO
PCK2	Mitochondria	HPA;GO
CHPF	Cytosol	HPA
RPS5	Nucleoplasm	GO
SCHIP1	Plasma membrane	HPA
ADI1	Plasma membrane	GO
CCNG2	Nucleoplasm	HPA
LARP1	Nucleoplasm	HPA
POLR2F	Nucleoli	HPA;GO
SLC46A1	Cytosol	HPA
RBM4	Nucleoplasm	HPA;GO
ATAD3B	Plasma membrane	GO
MRPL50	Mitochondria	HPA;GO
GPER1	Cytosol	HPA
MARCHF4	Golgi apparatus	GO
PCM1	Primary cilium	HPA;GO
PRIMPOL	Nucleoplasm	HPA;GO
EIPR1	Golgi apparatus	GO
BUB1B	Primary cilium	HPA
DPH3	Cytosol	HPA;GO
